Station,Reading,Time,Date,Elevation,Height,Water,Ice,Terrain,Slope,X,Y,Longitude,Latitude,Gravity,TideCorr,Bouguer,FreeAir,Source
044,2194.74,11:25:00,2019/12/06,112.01,0,0,0,0,0,248626.189869136,7706573.69966267,-41.4137549166667,-20.7235428888889,978600.279542894,0.0434404276311398,-56.3767179301606,-43.8431914132006,06122019_965
045,2191.285,11:50:00,2019/12/06,127.76,0,0,0,0,0,249282.758698878,7707396.6853906,-41.4073371111111,-20.7162013333333,978596.77496126,0.0310445576906204,-56.3449614441373,-42.0490651151773,06122019_965
046,2192.3,12:12:00,2019/12/06,118.72,0,0,0,0,0,250317.690950802,7708059.57939914,-41.3973122777778,-20.7103553888889,978597.790187871,0.020196320489049,-56.7589627641249,-43.4746107590049,06122019_965
047,2189.565,12:45:00,2019/12/06,116.57,0,0,0,0,0,251278.345056475,7708538.2924195,-41.3880269166667,-20.7061616944444,978595.010558866,0.00493604270741344,-59.7112302596122,-46.6674557208922,06122019_965
048,2164.155,13:13:00,2019/12/06,235.59,0,0,0,0,0,252494.346297981,7709622.24839254,-41.3762068611111,-20.6965370555556,978569.3150686,-0.00626984750851989,-61.4213372506696,-35.0596417580296,06122019_965
049,2156.25,13:40:00,2019/12/06,291.2,0,0,0,0,0,253286.864114848,7709896.33851511,-41.3685646666667,-20.6941672777778,978561.31620879,-0.0148941539227962,-58.3403897799283,-25.7561301447283,06122019_965
050,2147.24,14:05:00,2019/12/06,329.91,0,0,0,0,0,252923.011467445,7710124.32554513,-41.3720235555556,-20.6920609166667,978552.203367878,-0.0205553025007248,-59.713367955737,-22.797594960377,06122019_965
051,2140.11,14:25:00,2019/12/06,362.41,0,0,0,0,0,252854.375492973,7710304.3125762,-41.3726567777778,-20.6904268888889,978544.993718915,-0.0233028549700975,-60.432835650694,-19.880426535334,06122019_965
052,2125.545,14:52:00,2019/12/06,430.51,0,0,0,0,0,252565.530197319,7710605.55125009,-41.3753856111111,-20.6876690555556,978530.270504064,-0.024354200810194,-61.5963616193903,-13.4238011264303,06122019_965
053,2112.13,15:25:00,2019/12/06,496.23,0,0,0,0,0,252379.629801601,7710745.51830285,-41.3771494166667,-20.6863808055556,978516.713671079,-0.0214744582772255,-62.1492896001084,-6.62289139002843,06122019_965
054,2106.53,15:49:00,2019/12/06,523.12,0,0,0,0,0,252406.379722996,7711008.40695784,-41.3768558055556,-20.6840109444444,978511.058133604,-0.0166550409048796,-62.374281594419,-3.83898660689903,06122019_965
055,2102.92,16:04:00,2019/12/06,551.31,0,0,0,0,0,252605.714592677,7711235.65978937,-41.3749115277778,-20.6819856388889,978507.413289168,-0.0125884190201759,-60.3534248250269,1.33623238473311,06122019_965
056,2094.89,16:29:00,2019/12/06,586.55,0,0,0,0,0,252883.227766864,7711237.71334783,-41.3722489166667,-20.6820037777778,978499.306040797,-0.00426302570849657,-61.5300640133369,4.10282571546307,06122019_965
057,2211.08,09:37:00,2019/12/07,266.99,0,0,0,0,0,253172.325518467,7710252.15158346,-41.3696136666667,-20.6909398055556,978563.146062956,0.113859727978706,-61.0801460572013,-31.2049005901613,07122019_996
058,2219.925,10:01:00,2019/12/07,224.79,0,0,0,0,0,253678.421356316,7710394.54911307,-41.3647381944444,-20.6897209444444,978572.033317914,0.109211750328541,-60.4209244256751,-35.2677110898351,07122019_996
059,2219.14,10:24:00,2019/12/07,215.35,0,0,0,0,0,253920.58277804,7710800.76990744,-41.3623580833333,-20.6860853611111,978571.235168412,0.102051623165607,-62.8591332406359,-38.7622228270359,07122019_996
060,2228.05,11:03:00,2019/12/07,175.31,0,0,0,0,0,254306.855698838,7711026.16078115,-41.3586207777778,-20.68410125,978580.17390513,0.0846182629466057,-61.6779485064762,-42.0613737927162,07122019_996
061,2243.82,11:28:00,2019/12/07,96.85,0,0,0,0,0,255426.138263575,7711096.86273543,-41.3478728055556,-20.6836096111111,978596.01483731,0.0706326961517334,-61.2407484866071,-50.4035728490071,07122019_996
062,2227.72,11:57:00,2019/12/07,163.35,0,0,0,0,0,255413.798356323,7712080.51269666,-41.3478545555556,-20.67472725,978579.806172949,0.0526263527572155,-63.8394387078117,-45.5611460862117,07122019_996
063,2251.225,13:26:00,2019/12/07,104.18,0,0,0,0,0,251068.766158985,7705605.08974035,-41.3904534722222,-20.7326148611111,978603.377626327,-0.00372833665460348,-55.3606016900513,-43.7032247367713,07122019_996
064,2253.275,13:48:00,2019/12/07,101.52,0,0,0,0,0,250744.783844344,7704179.26276968,-41.3937651388889,-20.7454439722222,978605.425582892,-0.0154475858435035,-54.6023977764632,-43.2426655025432,07122019_996
065,2257.06,14:13:00,2019/12/07,100.66,0,0,0,0,0,251735.430525971,7702023.16038077,-41.3845628888889,-20.7650415277778,978609.218362722,-0.0266680028289557,-52.1504735040378,-40.8869722166778,07122019_996
066,2257.5,14:35:00,2019/12/07,106.08,0,0,0,0,0,251314.090340499,7700200.00296268,-41.3888661111111,-20.7814447777778,978609.651553298,-0.0342982411384583,-51.63258309469,-39.76260279901,07122019_996
067,2248.94,15:04:00,2019/12/07,132.94,0,0,0,0,0,247853.840004266,7700826.15844694,-41.4219926944444,-20.7753263888889,978601.035902817,-0.0407607033848763,-54.5987454713849,-39.7232252931449,07122019_996
068,2221.445,15:51:00,2019/12/07,200.06,0,0,0,0,0,240883.882958248,7712005.18082178,-41.4872463333333,-20.6734520833333,978573.385006339,-0.0420182384550571,-62.9637721200489,-40.5777591302889,07122019_996
069,2216.265,16:12:00,2019/12/07,208.63,0,0,0,0,0,241587.276821072,7712158.77005895,-41.4804767222222,-20.6721628055556,978568.178120345,-0.0388877354562283,-66.4081119156592,-43.0631459551792,07122019_996
070,2198.83,16:38:00,2019/12/07,303.61,0,0,0,0,0,242213.541952675,7712525.3272687,-41.4744158611111,-20.6689400555556,978550.652118903,-0.0321067348122597,-65.0595595640492,-31.0866644134892,07122019_996
071,2156.065,08:48:00,2019/12/08,239.06,0,0,0,0,0,242989.888850535,7715872.53791279,-41.4664813333333,-20.6388295277778,978561.334848516,0.127867609262466,-65.2807683981837,-38.5307920644237,08122019_965
072,2151.515,09:16:00,2019/12/08,252.25,0,0,0,0,0,244117.317622999,7718900.79354175,-41.4552304444444,-20.6116455277778,978556.739419339,0.135246694087982,-65.6648323278178,-37.4389412118178,08122019_965
073,2149.38,09:41:00,2019/12/08,254.52,0,0,0,0,0,246184.93092545,7718712.57742981,-41.4354319722222,-20.6136253333333,978554.580459988,0.137620583176613,-67.4949830102783,-39.0150868483583,08122019_965
074,2128.54,10:07:00,2019/12/08,369.87,0,0,0,0,0,246654.124708361,7717873.90445923,-41.4310531944444,-20.6212601388889,978533.510129855,0.135768696665764,-66.3300007846208,-24.9428438091008,08122019_965
