Line;Station;longitude;latitude;gravity_mgal;LAT_RAD;height_sea_level_m;;GTEO;CAR;AR_LIVRE;CB;BG;LAT_SIRGAS;FID;INSTITUICAO;LONG_SIRGAS
2104;na;-43.4089;-20.3847;978416.1300;-0.3558;772.05;;9.7866;-0.002383;-4.239418;0.000864;-90.63;-20.3847;1826;ON;-43.4089
2104;na;-43.2653;-20.3706;978389.3400;-0.3555;818.14;;9.7866;-0.002525;-15.975658;0.000915;-107.53;-20.3706;1827;ON;-43.2653
2104;na;-43.3225;-20.3853;978409.1400;-0.3558;788.85;;9.7866;-0.002434;-6.080284;0.000883;-94.35;-20.3853;1828;ON;-43.3225
2104;na;-43.2853;-20.3739;978385.8400;-0.3556;862.78;;9.7866;-0.002663;-5.894057;0.000965;-102.44;-20.3739;1829;ON;-43.2853
2104;na;-43.3803;-20.3817;978405.9800;-0.3557;862.25;;9.7866;-0.002661;13.623020;0.000965;-82.86;-20.3817;1830;ON;-43.3803
2104;na;-43.2942;-20.3769;978390.5200;-0.3556;849.46;;9.7866;-0.002621;-5.501271;0.000951;-100.56;-20.3769;1831;ON;-43.2942
2104;na;-43.3025;-20.3775;978399.3700;-0.3557;817.55;;9.7866;-0.002523;-6.534032;0.000915;-98.02;-20.3775;1832;ON;-43.3025
2104;na;-43.3117;-20.3817;978403.4300;-0.3557;810.14;;9.7866;-0.002500;-5.008126;0.000907;-95.66;-20.3817;1833;ON;-43.3117
2104;na;-43.3906;-20.3831;978392.1800;-0.3558;920.65;;9.7866;-0.002841;17.762794;0.001030;-85.26;-20.3831;1834;ON;-43.3906
2104;na;-43.2761;-20.3711;978385.4700;-0.3555;856.91;;9.7866;-0.002644;-7.910674;0.000959;-103.80;-20.3711;1835;ON;-43.2761
2104;na;-43.3389;-20.3839;978413.8800;-0.3558;776.27;;9.7866;-0.002396;-5.139999;0.000869;-92.00;-20.3839;1836;ON;-43.3389
2104;na;-43.3475;-20.3822;978424.4300;-0.3557;733.71;;9.7866;-0.002264;-7.623876;0.000821;-89.73;-20.3822;1837;ON;-43.3475
2104;na;-43.3531;-20.3869;978429.5700;-0.3558;719.51;;9.7866;-0.002220;-7.142869;0.000805;-87.66;-20.3869;1838;ON;-43.3531
2104;na;-43.3628;-20.3883;978423.3000;-0.3558;758.17;;9.7866;-0.002340;-1.564876;0.000848;-86.40;-20.3883;1839;ON;-43.3628
2104;na;-43.3717;-20.3869;978413.7000;-0.3558;812.55;;9.7866;-0.002508;5.699275;0.000909;-85.23;-20.3869;1840;ON;-43.3717
2104;na;-42.0000;-21.0000;978605.4400;-0.3665;144.71;;9.7870;-0.000447;-45.223341;0.000162;-61.42;-21.0000;2152;ON;-42.0000
2104;na;-41.0001;-21.0000;978689.6700;-0.3665;100.22;;9.7870;-0.000309;25.277045;0.000112;14.06;-21.0000;2193;ON;-41.0001
2104;na;-41.0001;-21.0000;978643.7600;-0.3665;109.76;;9.7870;-0.000339;-17.688911;0.000123;-29.97;-21.0000;2194;ON;-41.0001
2104;na;-42.3017;-20.3094;978465.2200;-0.3545;641.54;;9.7865;-0.001980;9.004298;0.000718;-62.78;-20.3094;2495;ON;-42.3017
2104;na;-42.2825;-20.3072;978464.1900;-0.3544;650.30;;9.7865;-0.002007;10.806833;0.000728;-61.96;-20.3072;2496;ON;-42.2825
2104;na;-42.2733;-20.3064;978460.6400;-0.3544;671.09;;9.7865;-0.002071;13.719605;0.000751;-61.38;-20.3064;2498;ON;-42.2733
2104;na;-42.3108;-20.3097;978457.5600;-0.3545;687.89;;9.7865;-0.002123;15.630289;0.000770;-61.34;-20.3097;2499;ON;-42.3108
2104;na;-42.3411;-20.2839;978469.2300;-0.3540;615.98;;9.7865;-0.001901;6.623299;0.000689;-62.30;-20.2839;2500;ON;-42.3411
2104;na;-42.2925;-20.3072;978469.3600;-0.3544;622.75;;9.7865;-0.001922;7.474903;0.000697;-62.21;-20.3072;2502;ON;-42.2925
2104;na;-42.2192;-20.2914;978440.4100;-0.3542;795.72;;9.7865;-0.002456;32.830985;0.000890;-56.21;-20.2914;2504;ON;-42.2192
2104;na;-42.2108;-20.2861;978435.3900;-0.3541;825.98;;9.7865;-0.002549;37.460224;0.000924;-54.97;-20.2861;2505;ON;-42.2108
2104;na;-42.2550;-20.2994;978457.2800;-0.3543;687.45;;9.7865;-0.002121;15.819297;0.000769;-61.11;-20.2994;2506;ON;-42.2550
2104;na;-42.2650;-20.3025;978455.9500;-0.3543;696.08;;9.7865;-0.002148;16.970517;0.000779;-60.92;-20.3025;2507;ON;-42.2650
2104;na;-42.2289;-20.2931;978446.8700;-0.3542;745.42;;9.7865;-0.002300;23.668635;0.000834;-59.74;-20.2931;2508;ON;-42.2289
2104;na;-42.2378;-20.2964;978454.9500;-0.3542;705.13;;9.7865;-0.002176;19.121450;0.000789;-59.78;-20.2964;2509;ON;-42.2378
2104;na;-42.2481;-20.2956;978458.5500;-0.3542;681.29;;9.7865;-0.002102;15.411384;0.000762;-60.82;-20.2956;2510;ON;-42.2481
2104;na;-42.1969;-20.2747;978440.8000;-0.3539;805.50;;9.7865;-0.002486;37.218817;0.000901;-52.92;-20.2747;2530;ON;-42.1969
2104;na;-41.1608;-20.3325;978446.3400;-0.3549;722.51;;9.7866;-0.002230;13.754355;0.000808;-67.09;-20.3325;2559;ON;-41.1608
2104;na;-42.2028;-20.2819;978440.2800;-0.3540;803.85;;9.7865;-0.002481;35.767313;0.000900;-54.18;-20.2819;2602;ON;-42.2028
2104;na;-41.4278;-20.2153;978376.9900;-0.3528;1036.16;;9.7865;-0.003198;48.069836;0.001159;-67.88;-20.2153;2604;ON;-41.4278
2104;na;-41.4575;-20.2181;978423.7600;-0.3529;790.37;;9.7865;-0.002439;18.825223;0.000884;-69.62;-20.2181;2605;ON;-41.4575
2104;na;-41.4192;-20.2200;978366.5700;-0.3529;1101.92;;9.7865;-0.003401;57.668379;0.001233;-65.64;-20.2200;2606;ON;-41.4192
2104;na;-41.4094;-20.2347;978355.6800;-0.3532;1170.97;;9.7865;-0.003614;67.226783;0.001310;-63.80;-20.2347;2607;ON;-41.4094
2104;na;-41.4369;-20.2183;978389.9900;-0.3529;961.30;;9.7865;-0.002967;37.792519;0.001076;-69.78;-20.2183;2608;ON;-41.4369
2104;na;-41.4469;-20.2158;978402.7200;-0.3528;899.82;;9.7865;-0.002777;31.696060;0.001007;-68.99;-20.2158;2609;ON;-41.4469
2104;na;-41.3728;-20.2267;978375.4300;-0.3530;1067.53;;9.7865;-0.003294;55.523522;0.001195;-63.93;-20.2267;2610;ON;-41.3728
2104;na;-41.4153;-20.2275;978360.7100;-0.3530;1132.75;;9.7865;-0.003496;60.883589;0.001268;-65.87;-20.2275;2611;ON;-41.4153
2104;na;-41.4725;-20.2272;978432.0300;-0.3530;759.73;;9.7865;-0.002345;17.107177;0.000850;-67.91;-20.2272;2612;ON;-41.4725
2104;na;-41.3544;-20.2314;978366.9900;-0.3531;1103.97;;9.7865;-0.003407;58.053785;0.001235;-65.48;-20.2314;2613;ON;-41.3544
2104;na;-41.3919;-20.2300;978362.2600;-0.3531;1140.65;;9.7865;-0.003520;64.725189;0.001276;-62.91;-20.2300;2614;ON;-41.3919
2104;na;-41.3458;-20.2342;978374.3800;-0.3532;1063.90;;9.7865;-0.003283;52.914255;0.001191;-66.14;-20.2342;2615;ON;-41.3458
2104;na;-41.3994;-20.2358;978358.7700;-0.3532;1163.34;;9.7865;-0.003590;67.897758;0.001302;-62.28;-20.2358;2616;ON;-41.3994
2104;na;-41.3644;-20.2317;978380.8800;-0.3531;1042.12;;9.7865;-0.003216;52.839312;0.001166;-63.77;-20.2317;2617;ON;-41.3644
2104;na;-41.4928;-20.2314;978432.7000;-0.3531;759.66;;9.7865;-0.002344;17.509719;0.000850;-67.50;-20.2314;2618;ON;-41.4928
2104;na;-41.3822;-20.2289;978370.9800;-0.3531;1096.96;;9.7865;-0.003385;60.026847;0.001227;-62.72;-20.2289;2619;ON;-41.3822
2104;na;-41.4636;-20.2242;978429.1200;-0.3530;766.83;;9.7865;-0.002366;16.563822;0.000858;-69.24;-20.2242;2620;ON;-41.4636
2104;na;-41.3286;-20.2444;978378.3200;-0.3533;1033.28;;9.7865;-0.003189;46.807600;0.001156;-68.82;-20.2444;2621;ON;-41.3286
2104;na;-41.5775;-20.2650;978448.6400;-0.3537;689.66;;9.7865;-0.002128;9.879347;0.000772;-67.29;-20.2650;2622;ON;-41.5775
2104;na;-42.1592;-20.2508;978449.1600;-0.3534;782.28;;9.7865;-0.002414;39.814081;0.000875;-47.72;-20.2508;2624;ON;-42.1592
2104;na;-41.5592;-20.2469;978438.8800;-0.3534;736.44;;9.7865;-0.002273;15.616335;0.000824;-66.79;-20.2469;2625;ON;-41.5592
2104;na;-41.5686;-20.2617;978446.9800;-0.3536;697.84;;9.7865;-0.002154;10.937137;0.000781;-67.15;-20.2617;2626;ON;-41.5686
2104;na;-41.5867;-20.2636;978451.3300;-0.3537;681.32;;9.7865;-0.002103;10.077693;0.000762;-66.16;-20.2636;2627;ON;-41.5867
2104;na;-41.5964;-20.2633;978446.9100;-0.3537;702.48;;9.7865;-0.002168;12.205254;0.000786;-66.40;-20.2633;2628;ON;-41.5964
2104;na;-41.5658;-20.2533;978438.9800;-0.3535;736.72;;9.7865;-0.002274;15.427786;0.000824;-67.01;-20.2533;2629;ON;-41.5658
2104;na;-41.4822;-20.2297;978432.1700;-0.3531;760.77;;9.7865;-0.002348;17.421783;0.000851;-67.71;-20.2297;2630;ON;-41.4822
2104;na;-41.5092;-20.2358;978436.8700;-0.3532;743.65;;9.7865;-0.002295;16.481424;0.000832;-66.73;-20.2358;2631;ON;-41.5092
2104;na;-41.5283;-20.2339;978427.4200;-0.3531;791.52;;9.7865;-0.002443;21.915352;0.000886;-66.66;-20.2339;2632;ON;-41.5283
2104;na;-41.5011;-20.2308;978433.6400;-0.3531;754.98;;9.7865;-0.002330;17.040596;0.000845;-67.44;-20.2308;2633;ON;-41.5011
2104;na;-41.5481;-20.2483;978434.7900;-0.3534;755.71;;9.7865;-0.002332;17.391043;0.000846;-67.17;-20.2483;2634;ON;-41.5481
2104;na;-41.5189;-20.2375;978433.3400;-0.3532;767.24;;9.7865;-0.002368;20.131755;0.000859;-65.72;-20.2375;2635;ON;-41.5189
