Station,Reading,Time,Date,height_sea_level_m,X,Y,longitude,latitude,gravity_mgal,TideCorr,Source
36,2162365,14:26:00,2019/12/05,504.71,243443.886560169,7712029.1716225,-41.4626866388889,-20.6735881666667,978513.9758626,-0.00493572978302836,05122019_996
37,2171.26,14:55:00,2019/12/05,456.95,243181.849846836,7712223.42268107,-41.4651718611111,-20.6717986111111,978522.926245028,-0.000451373343821615,05122019_996
38,2177935,15:18:00,2019/12/05,409.5,243005.131867954,7712533.84133384,-41.4668216944444,-20.6689720277778,978529.64473805,0.00476231751963496,05122019_996
39,2187.52,15:45:00,2019/12/05,354.9,242863.243687605,7712788.10435382,-41.4681455833333,-20.6666571666667,978539.291980804,0.0124482484534383,05122019_996
40,2198.21,16:05:00,2019/12/05,300.09,242750.261739551,7713063.92703125,-41.4691890277778,-20.6641516388889,978550.048675683,0.0189856626093388,05122019_996
41,2188.06,16:28:00,2019/12/05,354.37,243389.308461458,7714031.21676592,-41.4629186666667,-20.655507,978539.852534534,0.0271026827394962,05122019_996
42,2212645,16:57:00,2019/12/05,234.85,242261.252470837,7713900.29434588,-41.4737571666667,-20.6565340555556,978564.585286613,0.0376616902649403,05122019_996
43,2191.73,10:40:00,2019/12/06,128.64,247710.133525841,7705856.53993458,-41.42264825,-20.7298936944444,978597.257582057,0.0642184168100357,06122019_965
44,2194.74,11:25:00,2019/12/06,112.01,248626.189869136,7706573.69966267,-41.4137549166667,-20.7235428888889,978600.279542894,0.0434404276311398,06122019_965
45,2191285,11:50:00,2019/12/06,127.76,249282.758698878,7707396.6853906,-41.4073371111111,-20.7162013333333,978596.77496126,0.0310445576906204,06122019_965
46,2192.3,12:12:00,2019/12/06,118.72,250317.690950802,7708059.57939914,-41.3973122777778,-20.7103553888889,978597.790187871,0.020196320489049,06122019_965
47,2189565,12:45:00,2019/12/06,116.57,251278.345056475,7708538.2924195,-41.3880269166667,-20.7061616944444,978595.010558866,0.00493604270741344,06122019_965
48,2164155,13:13:00,2019/12/06,235.59,252494.346297981,7709622.24839254,-41.3762068611111,-20.6965370555556,978569.3150686,-0.00626984750851989,06122019_965
49,2156.25,13:40:00,2019/12/06,291.2,253286.864114848,7709896.33851511,-41.3685646666667,-20.6941672777778,978561.31620879,-0.0148941539227962,06122019_965
50,2147.24,14:05:00,2019/12/06,329.91,252923.011467445,7710124.32554513,-41.3720235555556,-20.6920609166667,978552.203367878,-0.0205553025007248,06122019_965
51,2140.11,14:25:00,2019/12/06,362.41,252854.375492973,7710304.3125762,-41.3726567777778,-20.6904268888889,978544.993718915,-0.0233028549700975,06122019_965
52,2125545,14:52:00,2019/12/06,430.51,252565.530197319,7710605.55125009,-41.3753856111111,-20.6876690555556,978530.270504064,-0.024354200810194,06122019_965
53,2112.13,15:25:00,2019/12/06,496.23,252379.629801601,7710745.51830285,-41.3771494166667,-20.6863808055556,978516.713671079,-0.0214744582772255,06122019_965
54,2106.53,15:49:00,2019/12/06,523.12,252406.379722996,7711008.40695784,-41.3768558055556,-20.6840109444444,978511.058133604,-0.0166550409048796,06122019_965
55,2102.92,16:04:00,2019/12/06,551.31,252605.714592677,7711235.65978937,-41.3749115277778,-20.6819856388889,978507.413289168,-0.0125884190201759,06122019_965
